년월,생태구역,연안명칭,"St.
No
",해수수질기준,표층DO,저층DO,표층DIN,저층DIN,표층DIP,저층DIP,표층Chl-a,저층Chl-a,표층투명도,수거량
201702.0,대한해협,진 주 만,1,2.0,10.4570393989427,10.2979875383847,8.316,8.68,7.532999999999999,7.657,1.284,1.38,2.2,1694.4761904761906
201702.0,대한해협,진 주 만,2,2.0,10.8027266518003,10.6608360925895,10.108,9.128,6.448,6.324,0.672,0.762,1.0,1694.4761904761906
201702.0,대한해협,남해도남안,1,1.0,9.540968178870061,10.263430533222301,60.886,14.868,18.476,14.88,1.068,2.922,2.5,1694.4761904761906
201702.0,대한해협,남해도남안,2,1.0,9.852086706441913,9.84874647127394,25.732,22.498,17.05,17.112000000000002,1.86,1.396,2.8,1694.4761904761906
201702.0,대한해협,남해도남안,3,1.0,9.02243729958364,8.98482134221482,78.498,81.494,20.088,19.871,0.426,0.588,4.1,1694.4761904761906
201702.0,대한해협,남해도남안,4,1.0,10.4397550362998,10.5398865745212,22.33,19.474,15.748,15.004,0.564,1.982,5.7,1694.4761904761906
201702.0,대한해협,남해도남안,5,2.0,9.627389992084463,9.48589791706911,55.356,46.844,18.817,17.732,1.192,1.056,1.7,1694.4761904761906
201702.0,대한해협,광 양 만,1,2.0,11.2175513552295,11.0927986571191,10.024,18.984,4.9289999999999985,4.65,2.004,1.584,1.0,1694.4761904761906
201702.0,대한해협,광 양 만,2,2.0,11.3212575310868,11.1619126674438,15.848,9.73,4.65,4.309,1.7280000000000002,1.608,1.3,1694.4761904761906
201702.0,대한해협,광 양 만,3,2.0,9.69652744265598,9.952417486761028,11.998,13.258,4.557,5.207999999999998,2.748,6.6720000000000015,1.9,1694.4761904761906
201702.0,대한해협,광 양 만,4,2.0,10.8891484650147,10.747228605495401,14.602,13.174,4.96,5.735,2.94,3.576,1.6,1694.4761904761906
201702.0,대한해협,광 양 만,5,2.0,10.336048860442599,10.401658553871801,15.022,12.222,4.123,4.123,1.5119999999999998,4.152,1.0,1694.4761904761906
201702.0,대한해협,광 양 만,6,2.0,10.733589201228801,10.488051066777698,9.184,10.388,4.154,5.766,2.784,4.14,1.7,1694.4761904761906
201702.0,대한해협,광 양 만,7,2.0,10.768157926514599,10.712671600333099,10.444,11.746,5.084,5.487,2.556,4.044,1.8,1694.4761904761906
201702.0,대한해협,광 양 만,8,2.0,11.010139003514901,10.8854566261449,12.824000000000002,14.154000000000002,4.309,4.216,2.388,3.3480000000000003,1.9,1694.4761904761906
