년월,생태구역,해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,수거량,수거량2,정화면적,일별처리량,시설용량(톤/일)(A),방류BOD(mg/L)평균,"평균
처리효율
(%)",방류COD(mg/L)평균,방류SS(mg/L)평균,방류T-N(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균
201702,동해,1,11.6472,11.5232,34.2949,34.3925,8.27,8.27,9.030537742,8.946834271,0.811434667,1.162325333,4.816,3.234,2.436,2.492,65.842,58.394,73.094,64.12,165.984,169.904,9.269,8.463,18.538,21.514,227.528,213.192,6.95,6.15,0.266,1.04,20,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.4973,11.5196,34.3026,34.3926,8.27,8.26,8.94707621,8.896758706,0.975914667,0.619541333,3.318,6.3,1.946,1.89,59.808,51.912,65.072,60.102,188.44,180.236,8.525,7.812,23.002,23.002,201.572,189.084,2.6,2.5,0.332,0.306,18,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.3197,12.2409,34.4486,34.4611,8.31,8.31,9.238319364,9.205368418,1.06912,0.90464,6.58,4.214,2.814,2.534,39.858,38.276,49.252,45.024,164.178,157.416,7.967,7.564,21.607,21.266,159.404,145.208,2.55,4.2,1.098,0.824,11,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.425,12.3724,34.4674,34.4686,8.28,8.3,8.845895178,8.796604279,0.98688,0.838848,5.572,5.166,4.76,4.746,59.528,62.664,69.86,72.576,163.24,164.416,9.889,8.804,19.964,20.739,205.492,197.428,3.45,3.65,0.592,0.554,12,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.2479,12.1346,34.4611,34.4623,8.31,8.31,9.074809286,9.041862762,0.953984,1.036224,5.278,5.488,3.556,3.528,46.424,43.946,55.258,52.962,152.32,143.206,9.796,9.269,19.902,18.042,198.884,178.388,3.65,5.45,0.924,0.662,13,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,12.6833,4.8029,34.4723,34.0439,8.29,8.03,8.878597194,8.518644664,0.888192,0.953984,3.696,4.284,4.41,1.568,52.416,90.204,60.522,96.056,163.744,278.852,10.075,8.954,19.654,35.588,187.712,362.38,4.45,3.3,0.368,0.0504,15,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.1745,11.9365,34.4542,34.4431,8.29,8.29,9.205617348,9.254420115,1.15136,1.118464,5.348,4.928,3.416,3.766,44.198,50.526,52.962,59.22,154.952,141.008,9.176,9.641,20.243,18.166,173.88,187.488,5.15,4.2,0.562,0.918,12,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.1008,11.7867,34.3957,34.44456,8.3,8.34,9.172915333,9.614132557,1.102016,1.250048,5.152,5.824,3.192,2.772,43.722,32.592,52.066,41.188,166.516,148.176,8.773,8.153,22.351,21.514,177.128,151.984,7.15,11.1,0.794,1.302,10.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.1501,11.5048,34.4692,34.4773,8.28,8.32,8.584279055,9.041862762,0.953984,1.381632,6.748,9.744,3.248,2.212,41.874,28.756,51.87,40.712,164.57,129.626,7.874,6.386,20.832,16.492,162.288,136.864,4.75,12.95,0.0906,0.302,14,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,12.4535,11.8678,34.4436,34.4669,8.28,8.29,8.715087117,8.633098623,1.365184,0.855296,5.656,7.448,3.584,4.256,51.758,53.018,60.998,64.722,171.598,161.686,9.61,10.788,21.421,21.049,197.372,222.236,3.9,4.15,0.1478,0.374,9.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,10.5647,10.8571,34.3439,34.3565,8.32,8.33,9.156564325,9.107265024,1.068810667,0.782325333,12.124,9.73,2.506,2.534,37.338,39.2,51.968,51.464,166.39,196.686,7.688,7.595,23.622,20.646,162.176,158.676,6.35,7.05,0.746,0.778,3.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,10.5132,10.4531,34.3127,34.3228,8.34,8.34,9.450882464,9.450626902,0.936586667,0.964133333,14.266,9.114,2.436,2.338,37.8,28.742,54.502,40.194,148.918,174.622,7.409,7.316,17.608,17.391,133.392,119.476,13.85,7.2,0.696,0.83,5.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,10.6208,10.6138,34.3051,34.3081,8.33,8.34,9.369127425,9.368874074,1.052282667,0.451765333,7.448,10.5,2.408,2.52,34.776,40.6,44.632,53.62,168.056,174.552,7.409,7.471,21.111,17.236,140.756,169.372,6.65,5.65,0.686,0.714,5.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,10.6486,10.6221,34.2759,34.2931,8.32,8.33,9.320074402,9.319822377,1.019226667,0.154261333,6.678,6.832,2.478,2.394,39.69,34.846,48.846,44.072,137.522,165.256,7.409,7.409,15.438,16.027,156.94,144.984,6.05,13.85,0.7,0.742,5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,2,11.2428,10.9206,34.4656,34.4508,8.31,8.32,9.074809286,9.254420115,1.415898667,1.707893333,2.366,2.94,2.338,2.408,30.912,32.816,35.616,38.164,135.52,157.57,7.564,7.626,19.468,20.057,230.16,241.22,4.35,9.45,0.564,0.804,6.5,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
